CTV3ID	TERMCODE	OBSERVABLE_CONCEPTID	OBSERVABLE_DESCRIPTIONID	USE_ALTERNATE
XE2sX	YM5Ei			N
XE2u2	Y40LP			N
XM01G	Y7DQy	27113001	45352010	Y
XM09q	YM0R4	386725007	1480858013	Y
XM0a0	YM9QL			A
XM0a3	YM9QQ	446840000	2882269019	Y
XM0aD	YM9Ql	443280005	2837707014	Y
XM0an	YM9Rd	725594005	3444207010	Y
XM0bV	YM9Sm	763257002	3638306018	Y
XM0bq	YM9TH	720204003	3319757010	Y
XM0c8	YM9Tq			N
XM0cm	YM9Un	1015891000000107	2552721000000117	N
XM0cp	YazI6	1086491000000104	2721801000000112	Y
XM0cx	YavhM	423740007	2647785016	Y
XM0d1	YM9VA	450320001	2915926015	Y
XM0d8	YM9VK			N
XM0dD	YM9VT	762991003	3637499017	Y
XM0dQ	YM9Vq	445885005	2883552012	N
XM0dT	YM9Vv	716795003	3307630015	Y
XM0df	YM9WF	425402008	2674623016	Y
XM0e6	YM9Wl	446515003	2884176015	N
XM0eQ	YM9XF			A
XM0eT	YM9XJ			A
XM0eg	YM9Xa	761869008	3634093015	Y
XM0eo	YM9Xo			A
XM0fV	YM9Yl	1090511000000109	2731891000000115	Y
XM0fc	YM9Yy			A
XM0fq	YM9ZL	720485003	3320986011	Y
XM0gN	YM9a8			A
XM0gl	YM9ae	446604004	2884404012	Y
XM0gn	YM9ag	249957003	372843014	Y
XM0gz	YM9ay	763382004	3640447015	N
XM0hb	YM9bt			A
XM0i7	YM9cc			A
XM0ii	YM9dN	443504004	2839850016	Y
XM0jF	YM9eG	450747009	2916960017	Y
XM0jc	YM9el	376481000000108	740821000000111	Y
XM0jl	YM9ez	376471000000106	740801000000119	Y
XM0kN	YM9fm	446661009	2883863017	N
XM0kO	YM9fo	443394008	2840181019	Y
XM0m0	YMGpX	1000921000000108	2577301000000114	N
XM1Mj	YM07e	421811005	2617635012	N
XM1Mm	YM07h	421568004	2617636013	N
XM1Mo	YM07u	421811005	2617635012	N
XM1Mr	YM07x	421568004	2617636013	N
XM1Uq	YMIIY	1001021000000101	2560311000000118	N
XM1Ur	Y7FQC			A
XM1V6	YMIIK			A
XM1Vx	Ya22s			A
XM1WP	YabK8			N
XM1X3	YM0RD	415945006	2534418016	Y
XS7q5	YSCEs	18491006	31196014	Y
XSFBt	Yat53			N
XSJm9	YSWKR			A
XSK14	YSWiU	1017161000000104	2552911000000113	N
Xa05d	Ya132			N
Xa0cj	Ya1ts			N
Xa0cl	Ya1tu	441923007	2817761017	N
Xa0t1	Ya2HD	201221000000101	306021000000112	Y
Xa1e1	YaQsL	979641000000103	2491341000000119	Y
Xa1e3	YaQsN	979651000000100	2491361000000118	Y
Xa1e4	YaQsP	979661000000102	2491381000000110	Y
Xa1e5	YaQsR	979671000000109	2491401000000110	Y
Xa1e7	YaQsS	979681000000106	2491421000000118	Y
Xa1e8	YaQsT	979691000000108	2491441000000113	Y
Xa1e9	YaQsU			A
Xa1eA	YaQsV	979711000000105	2491481000000117	Y
Xa1eB	YaQsW	979721000000104	2491501000000114	Y
Xa1eC	YaQsX	979731000000102	2491521000000117	Y
Xa1eD	YaQte	979741000000106	2491541000000112	Y
Xa1eE	YaQtf	979751000000109	2491561000000113	Y
Xa1ho	Ya3Mk			N
Xa1iD	Ya3N9			N
Xa1iF	Ya3ND			N
Xa1mA	Y7Erj			N
Xa1nr	Ya3Ul			N
Xa1qc	Ya3ZQ			N
Xa2DZ	Ya48m			N
