READCODE	TERMCODE	OBSERVABLE_CONCEPTID	OBSERVABLE_DESCRIPTIONID	USE_ALTERNATE
38GH.	00	823101000000104	2142631000000118	Y
38GM.	00	845421000000104	2192861000000117	Y
38GP.	00	849921000000109	2202451000000117	Y
38GQ.	00			N
38GR.	00	848081000000102	2198541000000119	Y
38GS.	00	423740007	2647785016	Y
38GT.	00	848851000000102	2257801000000114	Y
38GX.	00	1090061000000102	2730981000000119	Y
38GY.	00	850921000000102	2204711000000117	Y
38Ga.	00	860591000000104	2225831000000111	Y
38Gb.	00	845301000000103	2192591000000114	Y
38Gf.	00	860701000000103	2226061000000115	Y
38Gg.	00	866341000000101	2239081000000115	Y
38Gj.	00	863521000000106	2232811000000114	Y
38Gn.	00	867551000000106	2242491000000116	Y
38Go.	00	1085311000000106	2719191000000115	Y
38Gq.	00	872681000000108	2254061000000110	Y
38Gr.	00	872541000000104	2253781000000118	Y
38Gs.	00	443657009	2838798010	Y
38Gu.	00	859771000000107	2224171000000115	Y
38Gv.	00	1084661000000103	2717841000000114	Y
38Q0.	00	718426000	3312242015	N
38Q2.	00	886361000000103	2284221000000116	Y
38Q4.	00	705037002	3015281011	Y
38Q60	00	983631000000102	2501381000000117	Y
38Q7.	00	761875004	3634110015	Y
38Q9.	00	763123000	3637929018	Y
38QA.	00	895841000000104	2305061000000110	Y
38QB.	00	897151000000104	2308111000000119	Y
38QC.	00	898561000000105	2311641000000115	Y
38QD.	00	898861000000108	2312251000000114	Y
38QF.	00	901671000000100	2319111000000113	Y
38QG.	00	446515003	2884176015	N
38QJ.	00	902151000000106	2320281000000113	Y
38QK.	00	902471000000105	2321071000000112	Y
38QK.	11	902471000000105	2321071000000112	Y
38QL.	00	441930001	2817787017	Y
38QM.	00	905301000000103	2328051000000114	Y
38QN.	00	836571000000106	2172211000000113	Y
38QQ.	00	908251000000103	2334831000000119	Y
38QW.	00	909421000000102	2337981000000116	Y
38QX.	00	910931000000101	2341461000000112	Y
38QZ.	00	910211000000103	2339841000000110	Y
38Qa.	00	859371000000106	2223311000000113	Y
38Qc.	00	912181000000103	2344541000000112	Y
38Qh.	00	921661000000104	2365341000000113	Y
38Qi.	00	763258007	3638309013	Y
38Qj.	00	714330006	3299247016	Y
38Qk.	00	713632001	3290586010	Y
38Ql.	00	713636003	3290574012	Y
38Qn.	00	713408000	3289307011	Y
38Qo.	00	713644003	3296561011	Y
38Qp.	00	713064009	3287767017	Y
38Qq.	00	714339007	3299433018	Y
38V0.	00	718410001	3312201018	Y
38V2.	00	443707009	2841691017	Y
38V3.	00	936161000000100	2397671000000118	Y
38V4.	00	444948009	2871046017	Y
38V6.	00	719873005	3318212012	Y
38V7.	00	939321000000103	2404701000000118	Y
38VC.	00	718584002	3312843015	Y
38VD.	00	719339005	3316029012	Y
38VF.	00	716599007	3306813011	Y
38VG.	00	716609006	3306854015	Y
38VH.	00	446663007	2883866013	Y
38VK.	00	966851000000102	2462071000000115	Y
38VL.	00	975681000000109	2482091000000118	Y
38VM.	00	977171000000106	2485711000000118	Y
38VQ.	00	985381000000109	2505811000000115	Y
38VS0	00	718865009	3314180013	Y
38VS1	00	718866005	3314183010	Y
38VT.	00	718648003	3313073019	Y
38VY.	00			?
38VZ.	00	1025601000000108	2588941000000117	Y
38Va.	00	1036471000000109	2616111000000110	Y
38Vb.	00			?
38Vc.	00	1032481000000107	2607561000000119	Y
38Vd.	00			?
38Ve.	00			?
38Vf.	00			?
38Vg.	00			?
38Vh.	00			?
38Vi.	00			?
38Vl.	00	718617006	3312956014	Y
38Vm.	00	1037961000000109	2619791000000113	Y
38Vn.	00	718860004	3314165019	Y
38Vo.	00	718697007	3313255013	Y
38Vp.	00	719130004	3315108010	Y
38Vq.	00	719125003	3315093012	Y
38Vs.	00	1048311000000106	2640901000000118	Y
39C4.	00	201221000000101	306021000000112	Y
39C6.	00	763697007	3643319019	Y
39C6.	11	763697007	3643319019	Y
39F..	00	725594005	3444207010	Y
39F..	11	725594005	3444207010	Y
3A91.	00			N
3AA1.	00			N
3AD1.	00			N
3AD3.	00	1085151000000108	2718871000000119	Y
3AE..	00	1087361000000104	2730521000000111	Y
3AF..	00	711061000000109	1554191000000113	Y
3AG1.	00			N
42J6.	00	1083891000000108	2716161000000117	Y
42M8.	00	1022581000000105	2566671000000117	N
42N7.	00			N
42O2.	00	1022621000000105	2566691000000118	N
42O2.	11	1022621000000105	2566691000000118	N
42U..	11			N
42c..	00	269823000	1206383011	N
42j7.	00	1019211000000101	2553131000000110	N
43GZ.	11	1028671000000107	2599581000000113	N
43IJ.	00			N
43Jt.	00	1083811000000104	2715981000000118	Y
43Qk.	00	1083921000000100	2716221000000116	Y
43Vb.	00	1083911000000106	2716201000000113	Y
43Ve.	00	1083911000000106	2716201000000113	Y
43Wi.	00	1026191000000104	2590231000000117	Y
43Z1.	00	1083941000000107	2716271000000117	Y
43ZG.	00	1030791000000100	2599721000000119	N
43aB.	00	1083841000000103	2716061000000118	Y
43dl.	00	1083931000000103	2716251000000114	N
43mf.	00	1009631000000105	2574121000000113	N
43mg.	00	1009621000000108	2556881000000112	N
43mp.	00	1087941000000104	2725291000000119	Y
43mq.	00	995841000000105	2555171000000111	N
43n2.	00	1087581000000102	2724481000000119	Y
43rB.	00	1015071000000101	2565571000000112	N
43rG.	00	991681000000100	2566991000000111	N
43rH.	00	991691000000103	2567561000000110	N
43rP.	00	1013741000000108	2565371000000117	N
43tn.	00	1083981000000104	2716351000000118	Y
442g.	00	1083831000000107	2716021000000114	Y
443p.	00	1002861000000107	2556121000000115	N
44A4.	00	1083821000000105	2716001000000117	Y
