read,bnf,read_new,bnf_new
d41..,04.02.01.00,d41,04020100
d411.,04.02.01.00,d411,04020100
d412.,04.02.01.00,d412,04020100
d413.,04.02.01.00,d413,04020100
d414.,04.02.01.00,d414,04020100
d415.,04.02.01.00,d415,04020100
d416.,04.02.01.00,d416,04020100
d417.,04.02.01.00,d417,04020100
d418.,04.02.01.00,d418,04020100
d41A.,04.02.01.00,d41A,04020100
d41B.,04.02.01.00,d41B,04020100
d41a.,04.02.01.00,d41a,04020100
d41b.,04.02.01.00,d41b,04020100
d41c.,04.02.01.00,d41c,04020100
d41d.,04.02.01.00,d41d,04020100
d41e.,04.02.01.00,d41e,04020100
d41f.,04.02.01.00,d41f,04020100
d41g.,00.00.00.00,d41g,00000000
d41h.,04.02.01.00,d41h,04020100
d41j.,04.02.01.00,d41j,04020100
d41k.,04.02.01.00,d41k,04020100
d41l.,04.02.01.00,d41l,04020100
d41m.,04.02.01.00,d41m,04020100
d41o.,04.02.01.00,d41o,04020100
d42..,04.02.01.00,d42,04020100
d421.,04.02.01.00,d421,04020100
d422.,04.02.01.00,d422,04020100
d42z.,04.02.01.00,d42z,04020100
d43..,00.00.00.00,d43,00000000
d44..,04.02.01.00,d44,04020100
d441.,04.02.01.00,d441,04020100
d442.,04.02.01.00,d442,04020100
d443.,04.02.01.00,d443,04020100
d444.,04.06.00.00,d444,04060000
d44w.,04.06.00.00,d44w,04060000
d44x.,04.02.01.00,d44x,04020100
d44y.,04.02.01.00,d44y,04020100
d44z.,04.02.01.00,d44z,04020100
d45..,04.02.01.00,d45,04020100
d451.,04.02.01.00,d451,04020100
d45z.,04.02.01.00,d45z,04020100
d46..,04.02.01.00,d46,04020100
d461.,04.02.01.00,d461,04020100
d462.,04.02.01.00,d462,04020100
d463.,04.02.01.00,d463,04020100
d46x.,04.02.01.00,d46x,04020100
d46y.,04.02.01.00,d46y,04020100
d46z.,04.02.01.00,d46z,04020100
d47..,04.02.01.00,d47,04020100
d471.,04.02.01.00,d471,04020100
d472.,04.02.01.00,d472,04020100
d473.,04.02.01.00,d473,04020100
d474.,04.02.01.00,d474,04020100
d475.,04.02.01.00,d475,04020100
d476.,04.02.01.00,d476,04020100
d477.,04.02.01.00,d477,04020100
d478.,04.02.01.00,d478,04020100
d479.,04.02.01.00,d479,04020100
d47A.,04.02.01.00,d47A,04020100
d47B.,04.02.01.00,d47B,04020100
d47C.,04.02.01.00,d47C,04020100
d47D.,04.02.01.00,d47D,04020100
d47E.,04.02.01.00,d47E,04020100
d47F.,04.02.01.00,d47F,04020100
d47a.,04.02.01.00,d47a,04020100
d47b.,04.02.01.00,d47b,04020100
d47c.,04.02.01.00,d47c,04020100
d47d.,04.02.01.00,d47d,04020100
d47e.,04.02.01.00,d47e,04020100
d47f.,04.02.01.00,d47f,04020100
d47g.,04.02.01.00,d47g,04020100
d47h.,04.02.01.00,d47h,04020100
d47i.,04.02.01.00,d47i,04020100
d47j.,04.02.01.00,d47j,04020100
d47k.,04.02.01.00,d47k,04020100
d47l.,04.02.01.00,d47l,04020100
d47m.,04.02.01.00,d47m,04020100
d47n.,04.02.01.00,d47n,04020100
d47o.,04.02.01.00,d47o,04020100
d47p.,04.02.01.00,d47p,04020100
d47q.,04.02.01.00,d47q,04020100
d47r.,04.02.01.00,d47r,04020100
d47s.,04.02.01.00,d47s,04020100
d47t.,04.02.01.00,d47t,04020100
d47u.,04.02.01.00,d47u,04020100
d47v.,04.02.01.00,d47v,04020100
d47w.,04.02.01.00,d47w,04020100
d47x.,04.02.01.00,d47x,04020100
d47y.,04.02.01.00,d47y,04020100
d48..,04.02.01.00,d48,04020100
d481.,04.02.01.00,d481,04020100
d483.,04.02.01.00,d483,04020100
d48y.,04.02.01.00,d48y,04020100
d48z.,04.02.01.00,d48z,04020100
d49..,04.02.01.00,d49,04020100
d491.,04.02.01.00,d491,04020100
d492.,04.02.01.00,d492,04020100
d49y.,04.02.01.00,d49y,04020100
d49z.,04.02.01.00,d49z,04020100
d4a..,04.02.01.00,d4a,04020100
d4a1.,04.02.01.00,d4a1,04020100
d4a2.,04.02.01.00,d4a2,04020100
d4a3.,04.02.01.00,d4a3,04020100
d4a4.,04.02.01.00,d4a4,04020100
d4aw.,04.02.01.00,d4aw,04020100
d4ax.,04.02.01.00,d4ax,04020100
d4ay.,04.02.01.00,d4ay,04020100
d4az.,04.02.01.00,d4az,04020100
d4b..,04.02.01.00,d4b,04020100
d4b1.,04.02.01.00,d4b1,04020100
d4b2.,04.02.01.00,d4b2,04020100
d4b5.,04.02.01.00,d4b5,04020100
d4b6.,04.02.01.00,d4b6,04020100
d4bx.,04.02.01.00,d4bx,04020100
d4by.,04.02.01.00,d4by,04020100
d4c..,04.02.01.00,d4c,04020100
d4c1.,04.02.01.00,d4c1,04020100
d4c2.,04.02.01.00,d4c2,04020100
d4c3.,04.02.01.00,d4c3,04020100
d4cx.,04.02.01.00,d4cx,04020100
d4cy.,04.02.01.00,d4cy,04020100
d4cz.,04.02.01.00,d4cz,04020100
d4d..,04.02.01.00,d4d,04020100
d4e..,04.02.01.00,d4e,04020100
d4e1.,04.02.01.00,d4e1,04020100
d4e2.,04.02.01.00,d4e2,04020100
d4e4.,04.02.01.00,d4e4,04020100
d4e5.,04.02.01.00,d4e5,04020100
d4ev.,04.02.01.00,d4ev,04020100
d4ew.,04.02.01.00,d4ew,04020100
d4ex.,04.02.01.00,d4ex,04020100
d4ey.,04.02.01.00,d4ey,04020100
d4f..,04.02.01.00,d4f,04020100
d4f1.,04.02.01.00,d4f1,04020100
d4f2.,04.02.01.00,d4f2,04020100
d4f3.,04.02.01.00,d4f3,04020100
d4f4.,04.02.01.00,d4f4,04020100
d4f5.,04.02.01.00,d4f5,04020100
d4f6.,04.02.01.00,d4f6,04020100
d4fw.,04.02.01.00,d4fw,04020100
d4fx.,04.02.01.00,d4fx,04020100
d4fy.,04.02.01.00,d4fy,04020100
d4fz.,04.02.01.00,d4fz,04020100
d4g..,04.02.01.00,d4g,04020100
d4g1.,04.02.01.00,d4g1,04020100
d4g2.,04.02.01.00,d4g2,04020100
d4g3.,04.02.01.00,d4g3,04020100
d4g4.,04.02.01.00,d4g4,04020100
d4g5.,04.02.01.00,d4g5,04020100
d4g6.,04.02.01.00,d4g6,04020100
d4g7.,04.02.01.00,d4g7,04020100
d4gp.,04.02.01.00,d4gp,04020100
d4gq.,04.02.01.00,d4gq,04020100
d4gr.,04.02.01.00,d4gr,04020100
d4gs.,04.02.01.00,d4gs,04020100
d4gt.,04.02.01.00,d4gt,04020100
d4gu.,04.02.01.00,d4gu,04020100
d4gv.,04.02.01.00,d4gv,04020100
d4gw.,04.02.01.00,d4gw,04020100
d4gx.,04.02.01.00,d4gx,04020100
d4gy.,04.02.01.00,d4gy,04020100
d4gz.,04.02.01.00,d4gz,04020100
d4h..,04.02.01.00,d4h,04020100
d4h1.,04.02.01.00,d4h1,04020100
d4h2.,04.02.01.00,d4h2,04020100
d4h3.,04.02.01.00,d4h3,04020100
d4h4.,04.02.01.00,d4h4,04020100
d4h5.,04.02.01.00,d4h5,04020100
d4h6.,04.02.01.00,d4h6,04020100
d4h7.,04.02.01.00,d4h7,04020100
d4h8.,04.02.01.00,d4h8,04020100
d4h9.,04.02.01.00,d4h9,04020100
d4hA.,04.02.01.00,d4hA,04020100
d4hr.,04.02.01.00,d4hr,04020100
d4hs.,04.02.01.00,d4hs,04020100
d4ht.,04.02.01.00,d4ht,04020100
d4hu.,04.02.01.00,d4hu,04020100
d4hv.,04.02.01.00,d4hv,04020100
d4hw.,04.02.01.00,d4hw,04020100
d4hx.,04.02.01.00,d4hx,04020100
d4hy.,04.02.01.00,d4hy,04020100
d4hz.,04.02.01.00,d4hz,04020100
d4i..,04.02.01.00,d4i,04020100
d4i1.,04.02.01.00,d4i1,04020100
d4i2.,04.02.01.00,d4i2,04020100
d4iy.,04.02.01.00,d4iy,04020100
d4iz.,04.02.01.00,d4iz,04020100
d4j..,04.02.01.00,d4j,04020100
d4j1.,04.02.01.00,d4j1,04020100
d4j2.,04.02.01.00,d4j2,04020100
d4j3.,04.02.01.00,d4j3,04020100
d4jx.,04.02.01.00,d4jx,04020100
d4jy.,04.02.01.00,d4jy,04020100
d4jz.,04.02.01.00,d4jz,04020100
d4k..,04.02.01.00,d4k,04020100
d4k1.,04.02.01.00,d4k1,04020100
d4k2.,04.02.01.00,d4k2,04020100
d4k3.,04.02.01.00,d4k3,04020100
d4k4.,04.02.01.00,d4k4,04020100
d4k5.,04.02.01.00,d4k5,04020100
d4k6.,04.02.01.00,d4k6,04020100
d4l..,04.02.01.00,d4l,04020100
d4l1.,04.02.01.00,d4l1,04020100
d4l2.,04.02.01.00,d4l2,04020100
d4l3.,04.02.01.00,d4l3,04020100
d4l4.,04.02.01.00,d4l4,04020100
d4l5.,04.02.01.00,d4l5,04020100
d4l6.,04.02.01.00,d4l6,04020100
d4l7.,04.02.01.00,d4l7,04020100
d4l8.,04.02.01.00,d4l8,04020100
d4l9.,04.02.01.00,d4l9,04020100
d4lA.,04.02.01.00,d4lA,04020100
d4lB.,04.02.01.00,d4lB,04020100
d4lC.,04.02.01.00,d4lC,04020100
d4lD.,04.02.01.00,d4lD,04020100
d4lE.,04.02.01.00,d4lE,04020100
d4lF.,04.02.01.00,d4lF,04020100
d4lG.,04.02.01.00,d4lG,04020100
d4m..,04.02.01.00,d4m,04020100
d4m1.,04.02.01.00,d4m1,04020100
d4m2.,04.02.01.00,d4m2,04020100
d4m3.,04.02.01.00,d4m3,04020100
d4m4.,04.02.01.00,d4m4,04020100
d4n..,04.02.01.00,d4n,04020100
d4n1.,04.02.01.00,d4n1,04020100
d4n2.,04.02.01.00,d4n2,04020100
d4n3.,04.02.01.00,d4n3,04020100
d4n4.,04.02.01.00,d4n4,04020100
d4p..,04.02.01.00,d4p,04020100
d4p1.,04.02.01.00,d4p1,04020100
d4p2.,04.02.01.00,d4p2,04020100
d4p3.,04.02.01.00,d4p3,04020100
d4p4.,04.02.01.00,d4p4,04020100
d4p5.,04.02.01.00,d4p5,04020100
d4p6.,04.02.01.00,d4p6,04020100
d4p7.,04.02.01.00,d4p7,04020100
d4p8.,04.02.01.00,d4p8,04020100
d4p9.,04.02.01.00,d4p9,04020100
d4pA.,04.02.01.00,d4pA,04020100
d4pB.,04.02.01.00,d4pB,04020100
d4pC.,04.02.01.00,d4pC,04020100
d4pD.,04.02.01.00,d4pD,04020100
d4pE.,04.02.01.00,d4pE,04020100
d4pF.,04.02.01.00,d4pF,04020100
d4pG.,04.02.01.00,d4pG,04020100
d4pH.,04.02.01.00,d4pH,04020100
d4pJ.,04.02.01.00,d4pJ,04020100
d4pK.,04.02.01.00,d4pK,04020100
d4pL.,04.02.01.00,d4pL,04020100
d4pM.,04.02.01.00,d4pM,04020100
d4pN.,04.02.01.00,d4pN,04020100
d4pO.,04.02.01.00,d4pO,04020100
d4pP.,04.02.01.00,d4pP,04020100
d4pQ.,04.02.01.00,d4pQ,04020100
d4pR.,04.02.01.00,d4pR,04020100
d4pS.,04.02.01.00,d4pS,04020100
d4pw.,04.02.01.00,d4pw,04020100
d4px.,04.02.01.00,d4px,04020100
d4py.,04.02.01.00,d4py,04020100
d4pz.,04.02.01.00,d4pz,04020100
d4q..,04.02.01.00,d4q,04020100
d4q1.,04.02.01.00,d4q1,04020100
d4q2.,04.02.01.00,d4q2,04020100
d4q3.,04.02.01.00,d4q3,04020100
d4q4.,04.02.01.00,d4q4,04020100
d4q5.,04.02.01.00,d4q5,04020100
d4q6.,04.02.01.00,d4q6,04020100
d4q7.,04.02.01.00,d4q7,04020100
d4q8.,04.02.01.00,d4q8,04020100
d4r..,04.02.01.00,d4r,04020100
d4r1.,04.02.01.00,d4r1,04020100
d4r2.,04.02.01.00,d4r2,04020100
d4r3.,04.02.01.00,d4r3,04020100
d4r4.,04.02.01.00,d4r4,04020100
d4r5.,04.02.01.00,d4r5,04020100
d4r6.,04.02.01.00,d4r6,04020100
d4r7.,04.02.01.00,d4r7,04020100
d4r8.,04.02.01.00,d4r8,04020100
d4r9.,04.02.01.00,d4r9,04020100
d4rA.,04.02.01.00,d4rA,04020100
d4rB.,04.02.01.00,d4rB,04020100
d4rC.,04.02.01.00,d4rC,04020100
d4rD.,04.02.01.00,d4rD,04020100
d4rE.,04.02.01.00,d4rE,04020100
d4rF.,04.02.01.00,d4rF,04020100
d4rG.,04.02.01.00,d4rG,04020100
d4rH.,04.02.01.00,d4rH,04020100
d4rI.,04.02.01.00,d4rI,04020100
d4rJ.,04.02.01.00,d4rJ,04020100
d4rK.,04.02.01.00,d4rK,04020100
d4rL.,04.02.01.00,d4rL,04020100
d4rM.,04.02.01.00,d4rM,04020100
d4rN.,04.02.01.00,d4rN,04020100
d4rO.,04.02.01.00,d4rO,04020100
d4rP.,04.02.01.00,d4rP,04020100
d4rt.,04.02.01.00,d4rt,04020100
d4ru.,04.02.01.00,d4ru,04020100
d4rv.,04.02.01.00,d4rv,04020100
d4rw.,04.02.01.00,d4rw,04020100
d4rx.,04.02.01.00,d4rx,04020100
d4ry.,04.02.01.00,d4ry,04020100
d4rz.,04.02.01.00,d4rz,04020100
d4s..,04.02.01.00,d4s,04020100
d4s1.,04.02.01.00,d4s1,04020100
d4s2.,04.02.01.00,d4s2,04020100
d4s3.,04.02.01.00,d4s3,04020100
d4s4.,04.02.01.00,d4s4,04020100
d4s5.,04.02.01.00,d4s5,04020100
d4s6.,04.02.01.00,d4s6,04020100
d4s7.,04.02.01.00,d4s7,04020100
d4s8.,04.02.01.00,d4s8,04020100
d4s9.,04.02.01.00,d4s9,04020100
d4sA.,04.02.01.00,d4sA,04020100
d4sB.,04.02.01.00,d4sB,04020100
d4sC.,04.02.01.00,d4sC,04020100
d4sD.,04.02.01.00,d4sD,04020100
d4sE.,04.02.01.00,d4sE,04020100
d4sF.,04.02.01.00,d4sF,04020100
d4sG.,04.02.01.00,d4sG,04020100
d4sH.,04.02.01.00,d4sH,04020100
d4sI.,04.02.01.00,d4sI,04020100
d4sJ.,04.02.01.00,d4sJ,04020100
d4sK.,04.02.01.00,d4sK,04020100
d4sL.,04.02.01.00,d4sL,04020100
d4sM.,04.02.01.00,d4sM,04020100
d4sN.,04.02.01.00,d4sN,04020100
d4sO.,04.02.01.00,d4sO,04020100
d4sP.,04.02.01.00,d4sP,04020100
d4sQ.,04.02.01.00,d4sQ,04020100
d4sR.,04.02.01.00,d4sR,04020100
d4sS.,04.02.01.00,d4sS,04020100
d4sT.,04.02.01.00,d4sT,04020100
d4sU.,04.02.01.00,d4sU,04020100
d4sV.,04.02.01.00,d4sV,04020100
d4sW.,04.02.01.00,d4sW,04020100
d4sX.,04.02.01.00,d4sX,04020100
d4sY.,04.02.01.00,d4sY,04020100
d4sZ.,04.02.01.00,d4sZ,04020100
d4sa.,04.02.01.00,d4sa,04020100
d4sb.,04.02.01.00,d4sb,04020100
d4sc.,04.02.01.00,d4sc,04020100
d4sd.,04.02.01.00,d4sd,04020100
d4se.,04.02.01.00,d4se,04020100
d4sf.,04.02.01.00,d4sf,04020100
d4sg.,04.02.01.00,d4sg,04020100
d4sh.,04.02.01.00,d4sh,04020100
d4si.,04.02.01.00,d4si,04020100
d4sj.,04.02.01.00,d4sj,04020100
d4sk.,04.02.01.00,d4sk,04020100
d4sl.,04.02.01.00,d4sl,04020100
d4sm.,04.02.01.00,d4sm,04020100
d4sn.,04.02.01.00,d4sn,04020100
d4so.,04.02.01.00,d4so,04020100
d4sp.,04.02.01.00,d4sp,04020100
d4ss.,04.02.01.00,d4ss,04020100
d4st.,04.02.01.00,d4st,04020100
d4su.,04.02.01.00,d4su,04020100
d4sv.,04.02.01.00,d4sv,04020100
d4sw.,04.02.01.00,d4sw,04020100
d4sx.,04.02.01.00,d4sx,04020100
d4sy.,04.02.01.00,d4sy,04020100
d4sz.,04.02.01.00,d4sz,04020100
d4t..,04.02.01.00,d4t,04020100
d4t1.,04.02.01.00,d4t1,04020100
d4t2.,04.02.01.00,d4t2,04020100
d4t3.,04.02.01.00,d4t3,04020100
d4t4.,04.02.01.00,d4t4,04020100
d4t5.,04.02.01.00,d4t5,04020100
d4t6.,04.02.01.00,d4t6,04020100
d4t7.,04.02.01.00,d4t7,04020100
d4tx.,04.02.01.00,d4tx,04020100
d4ty.,04.02.01.00,d4ty,04020100
d4tz.,04.02.01.00,d4tz,04020100
d4u..,04.02.01.00,d4u,04020100
d4u1.,04.02.01.00,d4u1,04020100
d4u2.,04.02.01.00,d4u2,04020100
d4u3.,04.02.01.00,d4u3,04020100
d4u4.,04.02.01.00,d4u4,04020100
d4u5.,04.02.01.00,d4u5,04020100
d4u6.,04.02.01.00,d4u6,04020100
d4v..,04.02.01.00,d4v,04020100
d4v1.,04.02.01.00,d4v1,04020100
d4v2.,04.02.01.00,d4v2,04020100
d4v3.,04.02.01.00,d4v3,04020100
d4v4.,04.02.01.00,d4v4,04020100
d4v5.,04.02.01.00,d4v5,04020100
d4v6.,04.02.01.00,d4v6,04020100
d4v7.,04.02.01.00,d4v7,04020100
d4v8.,04.02.01.00,d4v8,04020100
d4v9.,04.02.02.00,d4v9,04020200
d4vr.,04.02.02.00,d4vr,04020200
d4vs.,04.02.01.00,d4vs,04020100
d4vt.,04.02.01.00,d4vt,04020100
d4vu.,04.02.01.00,d4vu,04020100
d4vv.,04.02.01.00,d4vv,04020100
d4vw.,04.02.01.00,d4vw,04020100
d4vx.,04.02.01.00,d4vx,04020100
d4vy.,04.02.01.00,d4vy,04020100
d4vz.,04.02.01.00,d4vz,04020100
d4w..,04.02.01.00,d4w,04020100
d4w1.,04.02.01.00,d4w1,04020100
d4w2.,04.02.01.00,d4w2,04020100
d4w3.,04.02.01.00,d4w3,04020100
d4w4.,04.02.01.00,d4w4,04020100
d4w5.,04.02.02.00,d4w5,04020200
d4w6.,04.02.02.00,d4w6,04020200
d4w7.,04.02.02.00,d4w7,04020200
d4w8.,04.02.02.00,d4w8,04020200
d4w9.,04.02.02.00,d4w9,04020200
d4wr.,04.02.02.00,d4wr,04020200
d4ws.,04.02.02.00,d4ws,04020200
d4wt.,04.02.02.00,d4wt,04020200
d4wu.,04.02.02.00,d4wu,04020200
d4wv.,04.02.02.00,d4wv,04020200
d4ww.,04.02.01.00,d4ww,04020100
d4wx.,04.02.01.00,d4wx,04020100
d4wy.,04.02.01.00,d4wy,04020100
d4wz.,04.02.01.00,d4wz,04020100
d4x..,04.02.03.00,d4x,04020300
d4x1.,04.02.03.00,d4x1,04020300
d4x2.,04.02.03.00,d4x2,04020300
d4x3.,04.02.03.00,d4x3,04020300
d4x4.,04.02.03.00,d4x4,04020300
d4y..,04.02.01.00,d4y,04020100
d4y1.,04.02.01.00,d4y1,04020100
d4y2.,04.02.01.00,d4y2,04020100
d4y3.,04.02.01.00,d4y3,04020100
d4y4.,04.02.01.00,d4y4,04020100
d4y5.,04.02.01.00,d4y5,04020100
d4y6.,04.02.01.00,d4y6,04020100
d5...,04.02.02.00,d5,04020200
d51..,04.02.02.00,d51,04020200
d511.,04.02.02.00,d511,04020200
d512.,04.02.02.00,d512,04020200
d513.,04.02.02.00,d513,04020200
d514.,04.02.02.00,d514,04020200
d515.,04.02.02.00,d515,04020200
d516.,04.02.02.00,d516,04020200
d517.,04.02.02.00,d517,04020200
d518.,04.02.02.00,d518,04020200
d519.,04.02.02.00,d519,04020200
d51a.,04.02.02.00,d51a,04020200
d51s.,04.02.02.00,d51s,04020200
d51t.,04.02.02.00,d51t,04020200
d51u.,04.02.02.00,d51u,04020200
d51v.,04.02.02.00,d51v,04020200
d51w.,04.02.02.00,d51w,04020200
d51x.,04.02.02.00,d51x,04020200
d51y.,04.02.02.00,d51y,04020200
d51z.,04.02.02.00,d51z,04020200
d52..,04.02.02.00,d52,04020200
d521.,04.02.02.00,d521,04020200
d522.,04.02.02.00,d522,04020200
d523.,04.02.02.00,d523,04020200
d524.,04.02.02.00,d524,04020200
d525.,04.02.02.00,d525,04020200
d526.,04.02.02.00,d526,04020200
d527.,04.02.02.00,d527,04020200
d528.,04.02.02.00,d528,04020200
d529.,04.02.02.00,d529,04020200
d52A.,04.02.02.00,d52A,04020200
d52B.,04.02.02.00,d52B,04020200
d52C.,04.02.02.00,d52C,04020200
d52a.,04.02.02.00,d52a,04020200
d52s.,04.02.02.00,d52s,04020200
d52t.,04.02.02.00,d52t,04020200
d52u.,04.02.02.00,d52u,04020200
d52v.,04.02.02.00,d52v,04020200
d52w.,04.02.02.00,d52w,04020200
d52x.,04.02.02.00,d52x,04020200
d53..,04.02.02.00,d53,04020200
d531.,04.02.02.00,d531,04020200
d532.,04.02.02.00,d532,04020200
d54..,04.02.02.00,d54,04020200
d541.,04.02.02.00,d541,04020200
d542.,04.02.02.00,d542,04020200
d543.,04.02.02.00,d543,04020200
d544.,04.02.02.00,d544,04020200
d545.,04.02.02.00,d545,04020200
d546.,04.02.02.00,d546,04020200
d55..,04.02.02.00,d55,04020200
d551.,04.02.02.00,d551,04020200
d552.,04.02.02.00,d552,04020200
d553.,04.02.02.00,d553,04020200
d554.,04.02.02.00,d554,04020200
d56..,04.02.02.00,d56,04020200
d561.,04.02.02.00,d561,04020200
d562.,04.02.02.00,d562,04020200
d563.,04.02.02.00,d563,04020200
d564.,04.02.02.00,d564,04020200
d57..,04.02.02.00,d57,04020200
d571.,04.02.02.00,d571,04020200
d572.,04.02.02.00,d572,04020200
d573.,04.02.02.00,d573,04020200
d574.,04.02.02.00,d574,04020200
d575.,04.02.02.00,d575,04020200
d576.,04.02.02.00,d576,04020200
d577.,04.02.02.00,d577,04020200
d578.,04.02.02.00,d578,04020200
d57y.,04.02.02.00,d57y,04020200
d57z.,04.02.02.00,d57z,04020200
d58..,04.02.02.00,d58,04020200
d581.,04.02.02.00,d581,04020200
d582.,04.02.02.00,d582,04020200
d583.,04.02.02.00,d583,04020200
d58x.,04.02.02.00,d58x,04020200
d58y.,04.02.02.00,d58y,04020200
d58z.,04.02.02.00,d58z,04020200
d6...,04.02.03.00,d6,04020300
d61..,04.02.03.00,d61,04020300
d611.,04.02.03.00,d611,04020300
d612.,04.02.03.00,d612,04020300
d613.,04.02.03.00,d613,04020300
d614.,04.02.03.00,d614,04020300
d615.,04.02.03.00,d615,04020300
d616.,04.02.03.00,d616,04020300
d617.,04.02.03.00,d617,04020300
d618.,04.02.03.00,d618,04020300
d619.,04.02.03.00,d619,04020300
d61s.,04.02.03.00,d61s,04020300
d61v.,04.02.03.00,d61v,04020300
d61w.,04.02.03.00,d61w,04020300
d61x.,04.02.03.00,d61x,04020300
d61y.,04.02.03.00,d61y,04020300
d61z.,04.02.03.00,d61z,04020300
d62..,04.02.03.00,d62,04020300
d621.,04.02.03.00,d621,04020300
d622.,04.02.03.00,d622,04020300
d623.,04.02.03.00,d623,04020300
d624.,04.02.03.00,d624,04020300
d625.,04.02.03.00,d625,04020300
d62w.,04.02.03.00,d62w,04020300
d62x.,04.02.03.00,d62x,04020300
d62y.,04.02.03.00,d62y,04020300
d62z.,04.02.03.00,d62z,04020300
d7...,04.03.01.00,d7,04030100
d71..,04.03.01.00,d71,04030100
d711.,04.03.01.00,d711,04030100
d712.,04.03.01.00,d712,04030100
d713.,04.03.01.00,d713,04030100
d714.,04.03.01.00,d714,04030100
d715.,04.03.01.00,d715,04030100
d716.,04.03.01.00,d716,04030100
d717.,04.03.01.00,d717,04030100
d718.,04.03.01.00,d718,04030100
d719.,04.03.01.00,d719,04030100
d71a.,04.03.01.00,d71a,04030100
d71b.,04.03.01.00,d71b,04030100
d71c.,04.03.01.00,d71c,04030100
d71d.,04.03.01.00,d71d,04030100
d71e.,04.03.01.00,d71e,04030100
d71f.,04.03.01.00,d71f,04030100
d71g.,04.03.01.00,d71g,04030100
d71h.,04.03.01.00,d71h,04030100
d71i.,04.03.01.00,d71i,04030100
d71j.,04.03.01.00,d71j,04030100
d71u.,04.03.01.00,d71u,04030100
d71v.,04.03.01.00,d71v,04030100
d71w.,04.03.01.00,d71w,04030100
d71y.,04.03.01.00,d71y,04030100
d71z.,04.03.01.00,d71z,04030100
d72..,04.03.01.00,d72,04030100
d721.,04.03.01.00,d721,04030100
d722.,04.03.01.00,d722,04030100
d72y.,04.03.01.00,d72y,04030100
d72z.,04.03.01.00,d72z,04030100
d73..,04.03.01.00,d73,04030100
d731.,04.03.01.00,d731,04030100
d732.,04.03.01.00,d732,04030100
d733.,04.03.01.00,d733,04030100
d734.,04.03.01.00,d734,04030100
d735.,04.03.01.00,d735,04030100
d736.,04.03.01.00,d736,04030100
d737.,04.03.01.00,d737,04030100
d738.,04.03.01.00,d738,04030100
d739.,04.03.01.00,d739,04030100
d73r.,04.03.01.00,d73r,04030100
d73s.,04.03.01.00,d73s,04030100
d73t.,04.03.01.00,d73t,04030100
d73u.,04.03.01.00,d73u,04030100
d73v.,04.03.01.00,d73v,04030100
d73w.,04.03.01.00,d73w,04030100
d73x.,04.03.01.00,d73x,04030100
d73y.,04.03.01.00,d73y,04030100
d73z.,04.03.01.00,d73z,04030100
d74..,04.03.01.00,d74,04030100
d741.,04.03.01.00,d741,04030100
d74z.,04.03.01.00,d74z,04030100
d75..,04.03.01.00,d75,04030100
d751.,04.03.01.00,d751,04030100
d752.,04.03.01.00,d752,04030100
d753.,04.03.01.00,d753,04030100
d754.,04.03.01.00,d754,04030100
d755.,04.03.01.00,d755,04030100
d756.,04.03.01.00,d756,04030100
d759.,04.03.01.00,d759,04030100
d75A.,04.03.01.00,d75A,04030100
d75y.,04.03.01.00,d75y,04030100
d75z.,04.03.01.00,d75z,04030100
d76..,04.03.01.00,d76,04030100
d761.,04.03.01.00,d761,04030100
d762.,04.03.01.00,d762,04030100
d763.,04.03.01.00,d763,04030100
d764.,04.03.01.00,d764,04030100
d765.,04.03.01.00,d765,04030100
d766.,04.03.01.00,d766,04030100
d76w.,04.03.01.00,d76w,04030100
d76x.,04.03.01.00,d76x,04030100
d76y.,04.03.01.00,d76y,04030100
d76z.,04.03.01.00,d76z,04030100
d77..,04.03.01.00,d77,04030100
d771.,04.03.01.00,d771,04030100
d772.,04.03.01.00,d772,04030100
d773.,04.03.01.00,d773,04030100
d774.,04.03.01.00,d774,04030100
d775.,04.03.01.00,d775,04030100
d776.,04.03.01.00,d776,04030100
d777.,04.03.01.00,d777,04030100
d77w.,04.03.01.00,d77w,04030100
d77z.,04.03.01.00,d77z,04030100
d78..,04.03.01.00,d78,04030100
d781.,04.03.01.00,d781,04030100
d78y.,04.03.01.00,d78y,04030100
d79..,04.03.01.00,d79,04030100
d791.,04.03.01.00,d791,04030100
d792.,04.03.01.00,d792,04030100
d793.,04.03.01.00,d793,04030100
d794.,04.03.01.00,d794,04030100
d79y.,04.03.01.00,d79y,04030100
d79z.,04.03.01.00,d79z,04030100
d7a..,04.03.01.00,d7a,04030100
d7a1.,04.03.01.00,d7a1,04030100
d7a2.,04.03.01.00,d7a2,04030100
d7a3.,04.03.01.00,d7a3,04030100
d7a4.,04.03.01.00,d7a4,04030100
d7aw.,04.03.01.00,d7aw,04030100
d7ax.,04.03.01.00,d7ax,04030100
d7ay.,04.03.01.00,d7ay,04030100
d7az.,04.03.01.00,d7az,04030100
d7b..,04.03.01.00,d7b,04030100
d7b1.,04.03.01.00,d7b1,04030100
d7b2.,04.03.01.00,d7b2,04030100
d7b3.,04.03.01.00,d7b3,04030100
d7b4.,04.03.01.00,d7b4,04030100
d7b5.,04.03.01.00,d7b5,04030100
d7b6.,04.03.01.00,d7b6,04030100
d7b7.,04.03.01.00,d7b7,04030100
d7b8.,04.03.01.00,d7b8,04030100
d7b9.,04.03.01.00,d7b9,04030100
d7c..,04.03.01.00,d7c,04030100
d7c1.,04.03.01.00,d7c1,04030100
